player_id,team_id,fumbles_lost,receiving_rec,receiving_yds,receiving_tds,rushing_att,rushing_yds,rushing_tds,start_time,day_of_week,week,season_year,home_team,away_team,home_score,away_score
1663,ARI,0,1,8,0,0,0,0,08:20:00,sunday,3,2009,ARI,IND,10,31
4174,IND,0,3,8,1,13,63,0,08:20:00,sunday,3,2009,ARI,IND,10,31
4382,IND,0,1,72,0,14,40,0,08:20:00,sunday,3,2009,ARI,IND,10,31
2807,DAL,0,1,20,0,8,94,0,08:30:00,monday,3,2009,DAL,CAR,21,7
2203,DAL,0,4,36,0,18,82,1,08:30:00,monday,3,2009,DAL,CAR,21,7
6502,CAR,0,2,17,0,3,-1,0,08:30:00,monday,3,2009,DAL,CAR,21,7
4181,CAR,0,2,10,0,11,64,0,08:30:00,monday,3,2009,DAL,CAR,21,7
5400,CAR,0,0,0,0,0,0,0,08:30:00,monday,3,2009,DAL,CAR,21,7
4460,CHI,0,2,19,0,12,121,1,01:00:00,sunday,4,2009,CHI,DET,48,24
1965,DET,0,4,21,0,19,30,2,01:00:00,sunday,4,2009,CHI,DET,48,24
2678,DET,0,1,1,0,1,13,0,01:00:00,sunday,4,2009,CHI,DET,48,24
416,CLE,1,5,31,0,29,121,0,01:00:00,sunday,4,2009,CLE,CIN,20,23
5366,CLE,0,1,5,0,1,15,0,01:00:00,sunday,4,2009,CLE,CIN,20,23
4966,CIN,0,0,0,0,6,41,0,01:00:00,sunday,4,2009,CLE,CIN,20,23
2785,CIN,0,6,28,0,1,4,0,01:00:00,sunday,4,2009,CLE,CIN,20,23
738,CIN,0,1,12,0,18,74,0,01:00:00,sunday,4,2009,CLE,CIN,20,23
1715,HOU,1,2,24,1,21,65,1,01:00:00,sunday,4,2009,HOU,OAK,29,6
467,OAK,1,1,4,0,3,10,0,01:00:00,sunday,4,2009,HOU,OAK,29,6
3041,OAK,0,1,5,0,6,-3,0,01:00:00,sunday,4,2009,HOU,OAK,29,6
4174,IND,0,7,50,0,12,46,1,01:00:00,sunday,4,2009,IND,SEA,34,17
4382,IND,0,1,13,0,9,33,1,01:00:00,sunday,4,2009,IND,SEA,34,17
4547,SEA,0,3,10,0,11,25,0,01:00:00,sunday,4,2009,IND,SEA,34,17
